NAME;BARCODE;TAXGROUP;NAME1;NAME2
" Крем ""Еко"" Заварний 100г";4820001170580;Б;00.Кондитер;ТМ ЕКО
 Мідії по-корейськи №5;4820065610824;Б;01.Фасовані;ТМ Галс
" Морозиво ваф.ст.""Славутич з горіхом"" 70г.";4820005920266;Б;00.Порційне;ТМ Рудь
" Подарунок ""Фантазія""";;Б;07.Новорічні подарунки;
Сappelletti з мясом 250г;8003010009010;Б;Пельмені фасовані;ТМ
Сappelletti з шинкою 250г;8003010009027;Б;Пельмені фасовані;ТМ
Сен-СойСоус класичний 220мл;4607041130121;Б;00.Готові;ТМ Наваро
Сен-СойСоус класичний-часник 220мл;4607041130145;Б;00.Готові;ТМ Наваро
Смінт полуниця 12*12;4601798005053;Б;08.Жувальні гумки;ТМ Чекотекс
"Соломка /Родина/	210159800000	Б	01.Вагове	ТМ Родина	
Сьомга в олії"" 170г. /Золота рибка/";4820078270206;Б;13.Пресерви;ТМ Золота рибка
"(Н/З)Корм ""Дарлінг"" кролик /соб/ 500г";5997204509161;Б;03.Товари для тварин;ТМ Дарлінг
(НЕ ВИКОРИСТОВУВАТИ)Молоко 3.2% 1л /Альма-Віта/;;Б;Архів;ТМ
(НЕ ВИКОРИСТОВУВАТИ)Свинина в шкірі 3 кат.;210071800000;Б;Архів;ТМ Гранд
"(Не використовувати)Бекон ""Іспанський"" ваг. /Габего/";;Б;Архів;ТМ
(Не використовувати)Бекон Фарширований к/в в/г т/у ваг /Ятра;;Б;Архів;ТМ Ятрань
"(Не використовувати)Буженина ""Королівська"" ваг. /Габего/";;Б;Архів;ТМ
"(Не використовувати)Вітчина ""Царичанська"" ваг. /Габего/";;Б;Архів;ТМ
(Не використовувати)Делікатесна з молоком 1с вектор /Ятрань/;;Б;Архів;ТМ Ятрань
(Не використовувати)Докторська в/г н/о т/у /Ятрань/;;Б;Архів;ТМ Ятрань
"(Не використовувати)К-ки ""Кабаноси""  н/к ваг. /Габего/";;Б;Архів;ТМ
"(Не використовувати)К-ки ""Мисливські""  ваг. /Габего/";;Б;Архів;ТМ
"(Не використовувати)Ков-ки ""Грильові"" в/у ваг. /Росана/";;Б;Архів;ТМ
(Не використовувати)Ков-са Молодіжна н/к 1/г ваг /Ятрань/;;Б;Архів;ТМ Ятрань
"(Не використовувати)Ковб. ""Популярна"" ваг.  /Габего/";;Б;Архів;ТМ
"(Не використовувати)Ковб. ""Циганська"" в/к ваг.  /Габего/";;Б;Архів;ТМ
"(Не використовувати)Ковб.""Ароматна"" н/к 1/г ваг. /Ятрань/";;Б;Архів;ТМ
"(Не використовувати)Ковб.""Краківська делікатесна"" в/у  ваг.";;Б;Архів;ТМ
"(Не використовувати)Ковб.""Молодіжна"" н/к 1/г ваг. /Ятрань/";;Б;Архів;ТМ
"(Не використовувати)Ковб.""Молочна особлива"" /Ятрань/";;Б;Архів;ТМ
"(Не використовувати)Ковб.""Оригінальна"" вар 1с /Ятрань/";;Б;Архів;ТМ
"(Не використовувати)Ковб.""Премєра"" 1,100 /Ятрань/";;Б;Архів;ТМ Біола,Премєра
